NDEA,CCR,BCC
0.5544838,0.3066229,0.7282933
0.5550914,0.3066183,0.8893642
0.5552436,0.3066252,0.7790922
0.5237742,0.2926433,0.6453838
0.5237492,0.2926396,0.6135727
0.5236673,0.2926426,0.6169338
0.5440573,0.3004093,0.6226883
0.5443541,0.3004092,0.6878313
0.5441531,0.3004042,0.6818
0.5985775,0.374006,0.6809939
0.5986412,0.3740014,0.7020829
0.5985857,0.374,0.6452449
0.5618851,0.3298179,0.568868
0.5620654,0.3298214,0.6910538
0.5620808,0.3298207,0.6436948
0.7099866,0.5852993,0.6910974
0.7100211,0.5852751,0.6974397
0.7100266,0.585288,0.7111023
0.8223772,0.9999869,1
0.8223428,1,1
0.8224528,0.9999936,1
0.5835037,0.3862753,0.4928934
0.5834979,0.3862727,0.518722
0.5835401,0.3862738,0.4802909
0.6538386,0.489249,0.537115
0.6539075,0.489233,0.6582429
0.6539496,0.4892501,0.6358671
0.5840574,0.4455465,0.4920802
0.5839969,0.4455452,0.4900063
0.583998,0.4455492,0.4988361
0.678478,0.5734183,0.6435851
0.6786199,0.573438,0.6860669
0.6786409,0.5734018,0.7081696
0.8023052,0.8358117,0.9744824
0.8024093,0.8358277,1
0.8019763,0.8358048,0.9525477
0.6286175,0.465193,0.5324885
0.6286872,0.4651745,0.6320941
0.6287061,0.4651762,0.6373663
0.6347964,0.4678908,0.5839891
0.6347825,0.4678838,0.5794105
0.6347683,0.4678686,0.5858829
0.6267791,0.4533167,0.5256986
0.6267227,0.4533302,0.5711832
0.6267458,0.453328,0.592837
0.6236995,0.4503357,0.5705478
0.6236877,0.4503264,0.5978089
0.6237067,0.4503205,0.5439345
0.6207686,0.4568811,0.5461864
0.6208232,0.456897,0.6570764
0.6208304,0.4568636,0.6035069
0.6567277,0.5280714,0.6553885
0.6567115,0.5280639,0.6431388
0.6567118,0.5280435,0.6459166
0.6760455,0.5604459,0.6227436
0.6761059,0.5604191,0.6596574
0.6760921,0.560434,0.6696639
0.6766304,0.5549573,0.6506694
0.6766653,0.5549524,0.6690153
0.6766223,0.5549523,0.6195214
0.6550447,0.5255103,0.5823509
0.6551714,0.5255189,0.6727878
0.655205,0.5255124,0.6279375
0.7231264,0.6990659,0.7607102
0.7232534,0.6990624,0.7499465
0.7232214,0.6990729,0.7688571
0.7266808,0.6719829,0.6809899
0.726825,0.6719371,0.7334294
0.726852,0.6719753,0.750854
0.6570823,0.5058638,0.5871729
0.6570536,0.505862,0.5863797
0.6570217,0.5058676,0.5548996
0.7240194,0.6923214,0.6959403
0.7241729,0.6923568,0.7639309
0.7241517,0.6922944,0.7338754
0.7142681,0.6866897,0.6977469
0.714265,0.6866904,0.7306192
0.7142642,0.6866694,0.7330812
0.7126679,0.6655506,0.6695587
0.7127387,0.6655681,0.6871003
0.7127076,0.6655464,0.6915574
0.7157493,0.5741009,0.7709514
0.7127007,0.5740939,1
0.6396193,0.5449129,0.7539198
0.6396434,0.5449243,0.7398023
0.6717069,0.6054322,0.777411
0.6717002,0.605422,0.7273978
0.6717215,0.6054072,0.660777
0.7282137,0.771394,0.7724803
0.7280224,0.7714363,0.83212
0.7280932,0.7713697,0.7745226
0.75527,0.7709686,0.7760556
0.7550324,0.7709713,0.7754346
0.7551076,0.7709735,0.7756686
0.7468118,0.8003552,0.8030323
0.7467898,0.8003282,0.8033712
0.7468152,0.8003675,0.8041485
0.7522808,0.7811083,0.7839374
0.9820024,1,1
0.9819975,0.9999947,1
0.9819869,1,1
0.8346453,1,1
0.8346024,0.9999435,0.9999547
0.8345633,0.9999654,1
0.8323046,0.9695978,0.9695988
0.8375982,0.9696148,0.9696268
0.8323122,0.9696216,1
